Date ,High_Stationary,HIGH ,lag_1,lag_2
2010-01-01,-1076.0,1149.9,-1165.3000000000002,-14.0
2010-02-01,-63.65000000000009,1056.35,-1076.0,-1165.3000000000002
2010-03-01,-38.90000000000009,1111.0,-63.65000000000009,-1076.0
2010-04-01,93.35000000000014,1149.7,-38.90000000000009,-63.65000000000009
2010-05-01,-17.59999999999991,1093.4,93.35000000000014,-38.90000000000009
2010-06-01,-55.75,1093.95,-17.59999999999991,93.35000000000014
2010-07-01,1.0499999999999545,1094.45,-55.75,-17.59999999999991
2010-08-01,-62.950000000000045,1031.0,1.0499999999999545,-55.75
2010-09-01,-45.950000000000045,1048.5,-62.950000000000045,1.0499999999999545
2010-10-01,79.0,1110.0,-45.950000000000045,-62.950000000000045
2010-11-01,76.40000000000009,1124.9,79.0,-45.950000000000045
2010-12-01,-35.0,1075.0,76.40000000000009,79.0
2011-01-01,-33.5,1091.4,-35.0,76.40000000000009
2011-02-01,-65.60000000000002,1009.4,-33.5,-35.0
2011-03-01,-36.40000000000009,1055.0,-65.60000000000002,-33.5
2011-04-01,56.500000000000114,1065.9,-36.40000000000009,-65.60000000000002
2011-05-01,-68.20000000000005,986.8,56.500000000000114,-36.40000000000009
2011-06-01,-98.90000000000009,967.0,-68.20000000000005,56.500000000000114
2011-07-01,-79.79999999999995,907.0,-98.90000000000009,-68.20000000000005
2011-08-01,-128.10000000000002,838.9,-79.79999999999995,-98.90000000000009
2011-09-01,-48.0,859.0,-128.10000000000002,-79.79999999999995
2011-10-01,65.10000000000002,904.0,-48.0,-128.10000000000002
2011-11-01,46.0,905.0,65.10000000000002,-48.0
2011-12-01,-59.39999999999998,844.6,46.0,65.10000000000002
2012-01-01,-77.10000000000002,827.9,-59.39999999999998,46.0
2012-02-01,20.100000000000023,864.7,-77.10000000000002,-59.39999999999998
2012-03-01,2.1000000000000227,830.0,20.100000000000023,-77.10000000000002
2012-04-01,-101.80000000000007,762.9,2.1000000000000227,20.100000000000023
2012-05-01,-78.60000000000002,751.4,-101.80000000000007,2.1000000000000227
2012-06-01,-19.949999999999932,742.95,-78.60000000000002,-101.80000000000007
2012-07-01,-5.2999999999999545,746.1,-19.949999999999932,-78.60000000000002
2012-08-01,81.94999999999993,824.9,-5.2999999999999545,-19.949999999999932
2012-09-01,135.5,881.6,81.94999999999993,-5.2999999999999545
2012-10-01,37.10000000000002,862.0,135.5,81.94999999999993
2012-11-01,-66.70000000000005,814.9,37.10000000000002,135.5
2012-12-01,-12.200000000000045,849.8,-66.70000000000005,37.10000000000002
2013-01-01,140.10000000000002,955.0,-12.200000000000045,-66.70000000000005
2013-02-01,51.200000000000045,901.0,140.10000000000002,-12.200000000000045
2013-03-01,-85.60000000000002,869.4,51.200000000000045,140.10000000000002
2013-04-01,-74.39999999999998,826.6,-85.60000000000002,51.200000000000045
2013-05-01,-14.399999999999977,855.0,-74.39999999999998,-85.60000000000002
2013-06-01,46.39999999999998,873.0,-14.399999999999977,-74.39999999999998
2013-07-01,72.89999999999998,927.9,46.39999999999998,-14.399999999999977
2013-08-01,9.850000000000023,882.85,72.89999999999998,46.39999999999998
2013-09-01,-26.899999999999977,901.0,9.850000000000023,72.89999999999998
2013-10-01,35.14999999999998,918.0,-26.899999999999977,9.850000000000023
2013-11-01,25.549999999999955,926.55,35.14999999999998,-26.899999999999977
2013-12-01,-9.0,909.0,25.549999999999955,35.14999999999998
2014-01-01,-28.299999999999955,898.25,-9.0,25.549999999999955
2014-02-01,-79.20000000000005,829.8,-28.299999999999955,-9.0
2014-03-01,41.549999999999955,939.8,-79.20000000000005,-28.299999999999955
2014-04-01,158.95000000000005,988.75,41.549999999999955,-79.20000000000005
2014-05-01,205.45000000000005,1145.25,158.95000000000005,41.549999999999955
2014-06-01,144.25,1133.0,205.45000000000005,158.95000000000005
2014-07-01,-101.95000000000005,1043.3,144.25,205.45000000000005
2014-08-01,-110.0,1023.0,-101.95000000000005,144.25
2014-09-01,-2.0,1041.3,-110.0,-101.95000000000005
2014-10-01,-19.299999999999955,1003.7,-2.0,-110.0
2014-11-01,-23.949999999999932,1017.35,-19.299999999999955,-2.0
2014-12-01,-11.75,991.95,-23.949999999999932,-19.299999999999955
2015-01-01,-82.85000000000002,934.5,-11.75,-23.949999999999932
2015-02-01,-48.15000000000009,943.8,-82.85000000000002,-11.75
2015-03-01,-24.850000000000023,909.65,-48.15000000000009,-82.85000000000002
2015-04-01,0.5,944.3,-24.850000000000023,-48.15000000000009
2015-05-01,5.75,915.4,0.5,-24.850000000000023
2015-06-01,69.80000000000007,1014.1,5.75,0.5
2015-07-01,152.44999999999993,1067.85,69.80000000000007,5.75
2015-08-01,-0.25,1013.85,152.44999999999993,69.80000000000007
2015-09-01,-168.3499999999999,899.5,-0.25,152.44999999999993
2015-10-01,-39.05000000000007,974.8,-168.3499999999999,-0.25
2015-11-01,93.0,992.5,-39.05000000000007,-168.3499999999999
2015-12-01,44.90000000000009,1019.7,93.0,-39.05000000000007
2016-01-01,97.25,1089.75,44.90000000000009,93.0
2016-02-01,22.09999999999991,1041.8,97.25,44.90000000000009
2016-03-01,-33.75,1056.0,22.09999999999991,97.25
2016-04-01,28.100000000000136,1069.9,-33.75,22.09999999999991
2016-05-01,-61.049999999999955,994.95,28.100000000000136,-33.75
2016-06-01,-75.75000000000011,994.15,-61.049999999999955,28.100000000000136
2016-07-01,43.799999999999955,1038.75,-75.75000000000011,-61.049999999999955
2016-08-01,79.85000000000002,1074.0,43.799999999999955,-75.75000000000011
2016-09-01,90.79999999999995,1129.55,79.85000000000002,43.799999999999955
2016-10-01,52.25,1126.25,90.79999999999995,79.85000000000002
2016-11-01,-73.59999999999991,1055.95,52.25,90.79999999999995
2016-12-01,-41.25,1085.0,-73.59999999999991,52.25
2017-01-01,41.549999999999955,1097.5,-41.25,-73.59999999999991
2017-02-01,171.79999999999995,1256.8,41.549999999999955,-41.25
2017-03-01,240.1500000000001,1337.65,171.79999999999995,41.549999999999955
2017-04-01,210.95000000000005,1467.75,240.1500000000001,171.79999999999995
2017-05-01,64.34999999999991,1402.0,210.95000000000005,240.1500000000001
2017-06-01,-22.34999999999991,1445.4,64.34999999999991,210.95000000000005
2017-07-01,229.5,1631.5,-22.34999999999991,64.34999999999991
2017-08-01,219.5,1664.9,229.5,-22.34999999999991
2017-09-01,21.0,1652.5,219.5,229.5
2017-10-01,-707.1000000000001,957.8,21.0,219.5
2017-11-01,-693.0,959.5,-707.1000000000001,21.0
2017-12-01,-18.899999999999977,938.9,-693.0,-707.1000000000001
2018-01-01,31.450000000000045,990.95,-18.899999999999977,-693.0
2018-02-01,33.700000000000045,972.6,31.450000000000045,-18.899999999999977
2018-03-01,-31.050000000000068,959.9,33.700000000000045,31.450000000000045
2018-04-01,38.39999999999998,1011.0,-31.050000000000068,33.700000000000045
2018-05-01,40.10000000000002,1000.0,38.39999999999998,-31.050000000000068
2018-06-01,25.0,1036.0,40.10000000000002,38.39999999999998
2018-07-01,190.4000000000001,1190.4,25.0,40.10000000000002
2018-08-01,293.0,1329.0,190.4000000000001,25.0
2018-09-01,90.94999999999982,1281.35,293.0,190.4000000000001
2018-10-01,-71.29999999999995,1257.7,90.94999999999982,293.0
2018-11-01,-95.34999999999991,1186.0,-71.29999999999995,90.94999999999982
2018-12-01,-82.79999999999995,1174.9,-95.34999999999991,-71.29999999999995
2019-01-01,78.70000000000005,1264.7,-82.79999999999995,-95.34999999999991
2019-02-01,146.29999999999995,1321.2,78.70000000000005,-82.79999999999995
2019-03-01,123.29999999999995,1388.0,146.29999999999995,78.70000000000005
