Date ,High_Stationary,HIGH 
2020-11-01,-274.3499999999999,2095.0
2020-12-01,-271.0,2038.0
2021-01-01,25.0,2120.0
2021-02-01,114.0,2152.0
2021-03-01,111.90000000000009,2231.9
2021-04-01,-105.09999999999991,2046.9
2021-05-01,-40.20000000000027,2191.7
2021-06-01,228.0,2274.9
2021-07-01,-38.149999999999636,2153.55
2021-08-01,8.849999999999909,2283.75
2021-09-01,416.4499999999998,2570.0
2021-10-01,467.5999999999999,2751.35
2021-11-01,32.19999999999982,2602.2
2021-12-01,-252.8499999999999,2498.5
2022-01-01,-34.899999999999636,2567.3
2022-02-01,-42.09999999999991,2456.4
2022-03-01,120.69999999999982,2688.0
2022-04-01,399.75,2856.15
2022-05-01,117.5,2805.5
2022-06-01,-38.80000000000018,2817.35
2022-07-01,-213.5,2592.0
2022-08-01,-140.44999999999982,2676.9
2022-09-01,37.69999999999982,2629.7
2022-10-01,-115.95000000000027,2560.95
2022-11-01,115.75,2745.45
2022-12-01,194.05000000000018,2755.0
